,steps,agents,dlt,mean,max,min
0,2,1000,blockchain,12.315037846565248,13.545225620269775,11.084850072860718
1,2,2000,blockchain,23.22973191738129,23.28271746635437,23.176746368408203
2,2,3000,blockchain,35.58236825466157,37.319252252578735,33.845484256744385
3,4,1000,blockchain,10.89624696969986,11.0196692943573,10.734501361846924
4,4,2000,blockchain,22.367676377296448,22.879491090774536,21.865167140960693
5,4,3000,blockchain,34.13163214921951,35.778204441070564,33.31265664100647
6,8,1000,blockchain,11.09497219324112,12.67002272605896,10.73530626296997
7,8,2000,blockchain,22.38455691933632,23.177748680114746,21.71781635284424
8,8,3000,blockchain,34.58540549874306,35.5752854347229,33.22395706176758
9,2,5000,blockchain,58.89138555526733,59.14096975326538,58.64180135726929
10,2,10000,blockchain,123.94043052196504,124.9684545993805,122.91240644454956
11,2,20000,blockchain,294.09404659271235,301.41706943511963,286.7710237503052
12,2,50000,blockchain,1087.647223353386,1100.6313860416412,1074.6630606651306
13,2,100000,blockchain,3380.455063104629,3386.833286523819,3374.07683968544
14,4,5000,blockchain,56.53600996732712,56.89599061012268,56.18521523475647
15,4,10000,blockchain,127.05747985839844,131.51435351371762,123.47026467323305
16,4,20000,blockchain,293.19654393196106,296.9685275554657,289.87551069259644
17,4,50000,blockchain,1106.4618390798566,1137.3677537441256,1085.9368569850924
18,4,100000,blockchain,3362.771026790142,3393.8482913970947,3330.3595135211945
19,8,5000,blockchain,57.84589093923569,61.86678290367127,56.512038946151726
20,8,10000,blockchain,127.51347124576569,131.50817370414734,123.55956602096558
21,8,20000,blockchain,290.5527038872242,295.97430562973017,284.82514333724976
22,8,50000,blockchain,1079.0355362296104,1104.8285446166992,1060.339255809784
23,8,100000,blockchain,3341.95458984375,3433.561906814575,3268.6513447761536
