,Unnamed: 0,Unnamed: 0.1,steps,agents,dlt,mean,max,min
0,0,0,8,5,blockchain,45.80504164099693,47.9208402633667,44.192574262619026
1,1,1,8,10,blockchain,93.38772657513618,96.3150885105133,89.37707114219666
2,2,2,8,15,blockchain,132.4649815261364,136.3541605472565,127.28903007507324
3,3,3,8,25,blockchain,214.52847790718081,220.63140869140625,208.4116358757019
4,4,4,8,50,blockchain,441.4929074048996,447.1019830703736,436.3459749221802
5,5,5,8,100,blockchain,880.4696076810361,894.0791344642639,869.9761118888855
6,6,6,48,5,blockchain,45.42554327845573,48.25361442565918,40.94586873054504
7,7,7,48,10,blockchain,90.7859965910514,93.51143527030943,88.269690990448
8,8,8,48,15,blockchain,133.30970938503742,144.27811741828918,125.3881106376648
9,9,9,48,25,blockchain,207.2083970606327,225.0478675365448,202.9701008796692
10,10,10,48,50,blockchain,448.4373005777597,466.9569616317749,429.1422851085663
11,11,11,48,100,blockchain,892.1205718715988,934.3083050251007,858.9720091819763
12,12,12,96,5,blockchain,48.40055963645378,55.58331751823425,42.03841042518616
13,13,13,96,10,blockchain,90.70484833419323,97.75372004508972,86.1248049736023
14,14,14,96,15,blockchain,137.8548569728931,146.39092874526978,129.30967950820923
15,15,15,96,25,blockchain,224.10909106334046,238.49406170845032,208.90418696403503
