,Unnamed: 0,steps,agents,dlt,mean,max,min
0,0,8,5,blockchain,27.97381156682968,30.78400492668152,25.96108627319336
1,1,8,10,blockchain,56.666952311992645,60.225506067276,52.858338356018066
2,2,8,15,blockchain,84.00536781549455,88.4983081817627,80.59451436996459
3,3,8,25,blockchain,138.30307784676552,146.7083606719971,125.30151391029358
4,4,8,50,blockchain,277.28970429301256,287.56004381179815,254.01846289634705
5,5,8,100,blockchain,568.5061063170432,600.676965713501,530.1841027736664
6,6,48,5,blockchain,24.585534383853272,28.0670166015625,23.49750232696533
7,7,48,10,blockchain,57.83586159845194,64.25786352157593,50.662923336029046
8,8,48,15,blockchain,87.77925882736844,93.67652630805969,74.0149450302124
9,9,48,25,blockchain,137.27675644059977,146.2387399673462,126.27366328239441
10,10,48,50,blockchain,292.82259286940103,309.15045928955084,274.0941071510315
11,11,48,100,blockchain,579.0482748101155,620.5022747516633,534.5520453453064
